Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,ABV,Size
5028,3Fonteine,1 Symbiotica Apple 0.375,300,Pieces,Russia,4.5,0.175
4846,3Fonteine,1 Symbiotica Hard Kombucha Renegade Aronia 0.33,200,Pieces,Russia,3,0.331
1340,3Fonteine,1000 IBU Imperial IPA Barrel l,960,Liters,Russia,9.6,1.1
4372,3Fonteine,18th Street Brewery,,,USA,,1.2
4302,3Fonteine,18th Street Brewery Deal With The Devil 0.473,630,Pieces,USA,8.5,0.435
4304,3Fonteine,18th Street Brewery Pins And Needles 0.473,630,Pieces,USA,8.5,0.45
4300,3Fonteine,18th Street Brewery Rise Of The Angels 0.473,520,Pieces,USA,7.5,0.453
4775,3Fonteine,18th Street Brewery Rubicon 0.473,480,Pieces,USA,7,0.474
4301,3Fonteine,18th Street Brewery Sex and Candy 0.473,480,Pieces,USA,7.5,0.475
4303,3Fonteine,18th Street Brewery Under Crown 0.473,640,Pieces,USA,8.8,0.476
4602,3Fonteine,Lambik Bar,,Pieces,USA,,1.476
3488,3Fonteine,Honey,,Pieces,USA,,2.476
4738,3Fonteine,2nd Shift Brewing Arancia e Ibisco Barrel,900,Liters,USA,5.9,1.3
3041,3Fonteine,2Y,,Liters,USA,,2.1
170,3Fonteine,3Fonteinen Doesjel 20/ lambic / 6% / 0.375,850,Pieces,Belgium,6,0.265
1176,3Fonteine,3Fonteinen Intense Red Oude Kriek / 5% / 0.75,3300,Pieces,Belgium,6,0.755
726,3Fonteine,3Fonteinen Oude Geuze / 6% / 0.75,1500,Pieces,Belgium,6,0.753
1617,3Fonteine,3Fonteinen Oude Geuze 20/ 5% / 0.375,950,Pieces,Belgium,5,0.376
4548,3Fonteine,3Fonteinen Oude Geuze 20Assemblage 59 0.375,1100,Pieces,Belgium,6.6,1.375
1845,3Fonteine,3Fonteinen Oude Geuze 20assemlage 9/Oud Gez 2 0.75,1600,Pieces,Belgium,5.3,0.752
2865,3Fonteine,3Fonteinen Oude Geuze 20Blend No. 55 0.375,1100,Pieces,Belgium,5.3,0.333
3139,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.375,1550,Pieces,Belgium,6.2,0.328
3140,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 0.3750,1550,Pieces,Belgium,6.4,0.495
4546,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 57 0.375,1550,Pieces,Belgium,6.8,0.395
4547,3Fonteine,3Fonteinen Oude Geuze Armand & Gaston Assemblage 66 0.375,1550,Pieces,Belgium,6.9,0.371
3733,3Fonteine,3Fonteinen Oude Geuze Assamblage 59 0.75,2000,Pieces,Belgium,6.3,0.751
2242,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.375,1000,Pieces,Belgium,5.7,0.375-1
2243,3Fonteine,3Fonteinen Oude Geuze Assemblage / 0.3751,1050,Pieces,Belgium,5.3,0.375-2
3141,3Fonteine,3Fonteinen Oude Geuze Assemblage 0.375,1100,Pieces,Belgium,6.3,0.375-3
1618,3Fonteine,3Fonteinen Oude Geuze Cuvee Armand & Gaston / 5% / 0.75,2500,Pieces,Belgium,5,0.75-1
4215,3Fonteine,"3Fonteinen Oude Geuze Cuvee Armand & Gaston 1,5L",8000,Pieces,Belgium,6.2,1.5-3
2866,3Fonteine,3Fonteinen Oude Geuze Cuv¨¦e Armand & Gaston 20Blend No. 56 0.375,1600,Pieces,Belgium,5,0.375-6
2867,3Fonteine,3Fonteinen Oude Geuze Cuv¨¦e Armand & Gaston 20Blend No. 58 0.75,3200,Pieces,Belgium,5,0.75-3
171,3Fonteine,3Fonteinen Oude Gueuze / 6% / 0.375,800,Pieces,Belgium,6,0.375-4
727,3Fonteine,3Fonteinen Oude Kriek / 6% / 0.75,2000,Pieces,Belgium,6,0.75-2
1619,3Fonteine,3Fonteinen Oude Kriek 20/ 6% / 0.75,2500,Pieces,Belgium,6,0.75-4
2892,3Fonteine,3Fonteinen Oude Kriek 20Blend No. 8 0.375,1550,Pieces,Belgium,6.4,0.365-1
2244,3Fonteine,3Fonteinen Oude Kriekenlambik Assemblage / 0.375,1500,Pieces,Belgium,5.4,0.365-2
5076,3Fonteine,3Fonteinen Ommazh 20Assambljazh 33,6000,Pieces,Belgium,5.8,0.75-5
